name,condition,sector,account_type,account_category,notes,model_name,model_family,experiment_role,acf1,cv,trend_strength,seasonality_strength,n_weeks,n_externals_selected,mae_baseline,mae_with_externals,r2_baseline,r2_with_externals,rmse_baseline,rmse_with_externals,rmse_lift_pct,mae_lift_pct,r2_gain
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,16118.75771446711,,-1.3920483713607126,,19734.003384832544,,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,8,,14820.132946749582,,-0.5259037820415206,,17842.513151793162,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15329.193063095221,,-0.7664090906533553,,18569.34368940671,,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,8,,15238.291990394966,,-0.3350222073208436,,17745.37950236646,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15854.79896125445,,-0.8198133564703154,,19006.410329493116,,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,9,,13205.754319609958,,-0.29754410201129083,,16352.094849928353,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,14699.30008991691,,-0.011628962814801247,,17427.868839459323,,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,12784.000009951524,,-0.07361042691624892,,15504.290791800579,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,18031.97176061785,,-0.41580983019248485,,20641.51055108299,,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,15088.233165762123,,0.03791436389080971,,17626.383832387473,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,16118.75771446711,,-1.3920483713607126,,19734.003384832544,,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,9,,14069.115151298292,,-0.7693538790861133,,18288.224488738724,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15329.193063095221,,-0.7664090906533553,,18569.34368940671,,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,9,,15202.371201600901,,-0.8103163039109056,,19030.49913682823,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15854.79896125445,,-0.8198133564703154,,19006.410329493116,,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,9,,14956.93616553564,,-0.9755177445195741,,18920.428537724187,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,14699.30008991691,,-0.011628962814801247,,17427.868839459323,,,,
EXP4_RET_006,D_noisy30,retail,normal,D_volatile,retail|D_noisy30,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,19356.380590354318,,-1.9685472789662484,,21853.82149614319,,,
EXP4_RET_006,E_missing20,retail,normal,D_volatile,retail|E_missing20,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,18031.97176061785,,-0.41580983019248485,,20641.51055108299,,,,
EXP4_RET_006,E_missing20,retail,normal,D_volatile,retail|E_missing20,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,14013.830085229227,,0.12882707274820804,,16782.66191513486,,,
